Start,Finish,Name of conflict,Belligerents,,Part of,War link,Wider conflict link
1803,1806,"War of the Third
Coalition
","French Empire and allies:
France
Batavian Republic
Italy
Etruria
Spain
Bavaria
Württemberg","Austrian Empire
Russian Empire
United Kingdom
Naples and Sicily
Sweden","Napoleonic
Wars",https://en.wikipedia.org/wiki/War_of_the_Third_Coalition,https://en.wikipedia.org/wiki/War_of_the_Third_Coalition
1803,1837,Padri War,"Adats
Netherlands",Padris,,https://en.wikipedia.org/wiki/Padri_War,
1804,1804,1804 Mtiuleti rebellion,Russian Empire,Georgian and Ossetian rebels,,https://en.wikipedia.org/wiki/1804_Mtiuleti_rebellion,
1804,1804,Battle of Suriname,United Kingdom,Batavian Republic,,https://en.wikipedia.org/wiki/Battle_of_Suriname,
1804,1804,"Battle of Sitka
",Russian Empire,"Tlingit
Kiks.ádi clan","Russian
colonization of the
Americas",https://en.wikipedia.org/wiki/Battle_of_Sitka,
1804,1813,"First Serbian Uprising
","Ottoman Empire
France","Revolutionary Serbia
Volunteers from
Habsburg monarchy
Russian Empire","Serbian
Revolution",https://en.wikipedia.org/wiki/First_Serbian_Uprising,https://en.wikipedia.org/wiki/Serbian_Revolution
1804,1804,"Uprising against the
Dahije
",Karađorđe,Dahije,"First
Serbian Uprising",https://en.wikipedia.org/wiki/First_Serbian_Uprising#Uprising_against_the_Dahije,https://en.wikipedia.org/wiki/First_Serbian_Uprising#Uprising_against_the_Dahije
1804,1804,"Castle Hill convict
rebellion",New South Wales,Convicts,,https://en.wikipedia.org/wiki/Castle_Hill_convict_rebellion,https://en.wikipedia.org/wiki/Castle_Hill_convict_rebellion
1804,1808,Fulani War,Sokoto Caliphate,Hausa Kingdoms,,https://en.wikipedia.org/wiki/Fulani_War,
1804,1813,"Russo-Persian War
(1804–1813)
",Russian Empire,Qajar dynasty,"Napoleonic
Wars",https://en.wikipedia.org/wiki/Russo-Persian_War_(1804%E2%80%931813),https://en.wikipedia.org/wiki/Russo-Persian_War_(1804%E2%80%931813)
1805,1811,"Egyptian Revolution
","Albanian forces of
Muhammad Ali","Ottoman Empire
Mamluk Forces","Napoleonic
Wars",https://en.wikipedia.org/wiki/Muhammad_Ali's_seizure_of_power,https://en.wikipedia.org/wiki/Napoleonic_Wars
1805,1805,Janissaries' Revolt,Ottoman Empire,Janissaries,,https://en.wikipedia.org/wiki/Janissaries'_Revolt,
,,,,,,,
1805,1810,"Franco-Swedish War
",France,Sweden,"Napoleonic
Wars",https://en.wikipedia.org/wiki/Franco-Swedish_War,https://en.wikipedia.org/wiki/Napoleonic_Wars
1805,1805,"Haitian invasion of
Santo Domingo","France
Spain
Captaincy General
of Santo Domingo",First Empire of Haiti,,https://en.wikipedia.org/wiki/History_of_the_Dominican_Republic#Eighteenth_century,https://en.wikipedia.org/wiki/Captaincy_General_of_Santo_Domingo
1806,1807,"War of the Fourth
Coalition
","French Empire and allies:
France
Confederation of the
Rhine
Bavaria
Württemberg
Saxony (from Dec.
1806)
Polish Legions
Italy
Naples
Etruria
Holland
Swiss Confederation
Spain","Prussia
Russia
United Kingdom
Saxony (1806 only)
Sweden
Sicily","Napoleonic
Wars",https://en.wikipedia.org/wiki/War_of_the_Fourth_Coalition,https://en.wikipedia.org/wiki/War_of_the_Fourth_Coalition
1806,1812,"Russo-Turkish War
(1806–1812)
",Russian Empire,Ottoman Empire,"Napoleonic
Wars",https://en.wikipedia.org/wiki/Russo-Turkish_War_(1806%E2%80%931812),https://en.wikipedia.org/wiki/Russo-Turkish_War_(1806%E2%80%931812)
1806,1807,"British invasions of the
Río de la Plata","Spain
Río de la Plata
Viceroyalty",United Kingdom,,https://en.wikipedia.org/wiki/British_invasions_of_the_R%C3%ADo_de_la_Plata,https://en.wikipedia.org/wiki/British_invasions_of_the_R%C3%ADo_de_la_Plata
