Start,End,Name of Conflict,Victors,Defeated,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
1700,1721,Great Northern War,"Tsardom of Russia\nKalmyk Khanate\nCossack Hetmanate\nDenmark–Norway\n(1700, 1709–20)\nElectorate of Saxony\n(1700–06, 1709–)\nPoland–Lithuania\n(1700–04, 1709–)\nKingdom of Prussia\n(1715–20)\nElectorate of Hanover\n(1715–19)\nGreat Britain\n(1717–19)",Swedish Empire\nHolstein-Gottorp\nPoland–Lithuania\n(1704–09)\nOttoman Empire\n(1710–14)\nCossack Hetmanate\n(1708–09)\nEngland (1700)\nGreat Britain (1719–21)\nDutch Republic (1700)\nDuchy of Brunswick-\nLüneburg (1700),,https://en.wikipedia.org/wiki/Great_Northern_War,,762201.0
1568,1648,Eighty Years' War,United Provinces\nEngland\nGerman Protestants\nHuguenots\nFrance,Spanish Empire\nHoly Roman Empire,,https://en.wikipedia.org/wiki/Eighty_Years'_War,,711533.0
1519,1521,Spanish conquest of the Aztec\nEmpire,Spanish Empire\nTlaxcala,Aztec Triple Alliance,,https://en.wikipedia.org/wiki/Spanish_conquest_of_the_Aztec_Empire,https://en.wikipedia.org/wiki/Spanish_conquest_of_the_Aztec_Empire,701921.0
1600,1600,Battle of Sekigahara,Eastern Army: forces\nloyal to Tokugawa Ieyasu,Western Army: forces loyal\nto Ishida Mitsunari,,https://en.wikipedia.org/wiki/Battle_of_Sekigahara,,672562.0
1745,1746,"Jacobite rising of 1745\nAlso called ""The Forty-\nFive""",Great Britain,Jacobites\nKingdom of France,,https://en.wikipedia.org/wiki/Jacobite_rising_of_1745,,649087.0
1740,1748,War of the Austrian\nSuccession,France\nPrussia\nSpain\nBavaria (1741–45)\nSaxony (1741–42)\nSicily\nNaples\nRepublic of Genoa\nSweden (1741–43),"Austria\nGreat Britain\nHanover\nDutch Republic\nSaxony (1743–45)\nKingdom of Sardinia\nRussia (1741–43, 1748)",,https://en.wikipedia.org/wiki/War_of_the_Austrian_Succession,https://en.wikipedia.org/wiki/War_of_the_Austrian_Succession,522213.0
1792,1797,War of the First\nCoalition\n,France\nSpain (from 1796)\nBatavian Republic (from\n1795)\nFrench satellite states\nPolish Legions (from\n[21]\n1795),First Coalition:\nAustria\n[22]\nHoly Roman Empire\nPrussia (until 1795)\nGreat Britain\nFrench Royalists\nSpain (until 1795)\nPortugal\nKingdom of Sardinia\nNaples and Sicily\nOther Italian states[23],French\nRevolutionary Wars,https://en.wikipedia.org/wiki/War_of_the_First_Coalition,https://en.wikipedia.org/wiki/War_of_the_First_Coalition,486998.0
1688,1697,Nine Years' War,Grand Alliance:\nDutch Republic\nEngland\nHoly Roman Empire\nSpain\nPiedmont-Savoy\nSweden (until 1691)\nScotland,France,,https://en.wikipedia.org/wiki/Nine_Years'_War,,479398.0
1675,1678,King Philip's War,New England\nConfederation\nMohegan\nPequots,Wampanoag\nNipmuc\nPodunk\nNarragansett\nNashaway,,https://en.wikipedia.org/wiki/King_Philip's_War,,448228.0
1791,1794,Whiskey Rebellion,United States,Frontier tax protestors,,https://en.wikipedia.org/wiki/Whiskey_Rebellion,,417316.0
1683,1699,Great Turkish War,Holy Roman Empire\nTsardom of Russia\nCossack Hetmanate\nPoland–Lithuania\nRepublic of Venice\nHabsburg Hungary\nKingdom of Croatia\nSpain\nSerbian rebels\nAlbanian rebels\nGreek rebels\nBulgarian rebels\nMacedonian rebels,Ottoman Empire\nCrimean Khanate,,https://en.wikipedia.org/wiki/Great_Turkish_War,,416212.0
1562,1598,French Wars of Religion,Politiques,Protestants:\nHuguenots\nEngland\nCatholics:\nCatholic League\nSpain\nDuchy of Savoy,,https://en.wikipedia.org/wiki/French_Wars_of_Religion,,408910.0
1649,1653,Cromwellian conquest of\nIreland\n,"English Parliamentarian\nNew Model Army,\nProtestant colonists","Irish Catholic\nConfederation,\nEnglish Royalists",Wars of the Three\nKingdoms,https://en.wikipedia.org/wiki/Cromwellian_conquest_of_Ireland,https://en.wikipedia.org/wiki/Cromwellian_conquest_of_Ireland,386816.0
1735,1740,Bashkir Rebellion,Russian Empire,Bashkirs,,https://en.wikipedia.org/wiki/Bashkirs#Bashkir_rebellions_of_the_17th%E2%80%9318th_centuries,,359094.0
1798,1798,Irish Rebellion of 1798,British Army\nHessian mercenaries,Society of United Irishmen\nDefenders\nFrance,,https://en.wikipedia.org/wiki/Irish_Rebellion_of_1798,,356869.0
1798,1800,Quasi-War,United States,French Republic,,https://en.wikipedia.org/wiki/Quasi-War,,356228.0
1526,1526,Battle of Mohács,Ottoman Empire,Kingdom of Hungary\nKingdom of Bohemia\nHoly Roman Empire\nDuchy of Bavaria\nPapal States\nKingdom of Poland,,https://en.wikipedia.org/wiki/Battle_of_Moh%C3%A1cs,,342248.0
1739,1748,War of Jenkins' Ear\n,Spanish Empire,Kingdom of Great Britain,War of the\nAustrian Succession,https://en.wikipedia.org/wiki/War_of_Jenkins'_Ear,,338261.0
1524,1525,German Peasants' War,Swabian League,German Peasant\nArmy,,https://en.wikipedia.org/wiki/German_Peasants'_War,,337002.0
1699,1700,Darien scheme,Spanish Empire,Scotland,,https://en.wikipedia.org/wiki/Darien_scheme,,331736.0
1532,1572,Spanish conquest of the Inca\nEmpire,Spanish Empire,Inca Empire\nNeo-Inca State,,https://en.wikipedia.org/wiki/Spanish_conquest_of_the_Inca_Empire,https://en.wikipedia.org/wiki/Spanish_conquest_of_the_Inca_Empire,327212.0
1798,1802,War of the Second\nCoalition\n,French Republic\nSpain\nPolish Legions\nDenmark–Norway[24]\nFrench client republics:\nBatavian Republic\nHelvetic Republic\nCisalpine Republic,Second Coalition:\nAustria\nHoly Roman Empire[22]\nGreat Britain (until 1801)\nUnited Kingdom (from\n1801)\nRussia (until 1799),French\nRevolutionary Wars,https://en.wikipedia.org/wiki/War_of_the_Second_Coalition,https://en.wikipedia.org/wiki/War_of_the_Second_Coalition,285424.0
1609,1701,Beaver Wars,Iroquois\nEngland\nSupported by:\nDutch Republic,Algonquian\nHuron\nSusquehannock\nErie\nNeutral\nPetun\nOdawa\nOjibwe\nWenro\nMahican\nInnu\nAbenaki\nFrance,,https://en.wikipedia.org/wiki/Beaver_Wars,,284416.0
1582,1582,Honnō-ji Incident,Oda forces under Akechi\nMitsuhide's command,"Oda Nobunaga, Oda\nNobutada and their servants",,https://en.wikipedia.org/wiki/Honn%C5%8D-ji_Incident,,268922.0
1642,1646,First English Civil War\n,Parliaments of\nEngland and Scotland,English and Scottish\nRoyalists,Wars of the Three\nKingdoms,https://en.wikipedia.org/wiki/First_English_Civil_War,https://en.wikipedia.org/wiki/Wars_of_the_Three_Kingdoms,262401.0
1793,1796,War in the Vendée\n,France,Vendéens\nChouans\nÉmigrés\nGreat Britain,War of the\nFirst Coalition,https://en.wikipedia.org/wiki/War_in_the_Vend%C3%A9e,,260529.0
1702,1713,Queen Anne's War\n,England (before 1707) [18]\nEnglish America\nGreat Britain (after\n[18]\n1707)\nBritish America\nMuscogee (Creek)\nChickasaw\nYamasee,France\nNew France\nSpain\nNew Spain\nWabanaki Confederacy\nCaughnawaga Mohawk\nChoctaw,War of the\nSpanish Succession,https://en.wikipedia.org/wiki/Queen_Anne's_War,,251195.0
1585,1604,Anglo-Spanish War (1585–\n1604),Spanish Empire,Kingdom of England\nUnited Provinces\nPortuguese loyal to\nPrior of Crato,,https://en.wikipedia.org/wiki/Anglo-Spanish_War_(1585%E2%80%931604),https://en.wikipedia.org/wiki/Anglo-Spanish_War_(1585%E2%80%931604),243526.0
1529,1529,Siege of Vienna,Holy Roman Empire\nKingdom of Bohemia\nElectorate of the\nPalatinate\nSpain,Ottoman Empire\nMoldavia,,https://en.wikipedia.org/wiki/Siege_of_Vienna_(1529),,239801.0
1672,1678,Franco-Dutch War,France\nEngland\nSweden\nBishopric of Münster\nArchbishopric of\nCologne,Dutch Republic\nHoly Roman Empire\nSpain\nElectorate of\nBrandenburg\nEngland,,https://en.wikipedia.org/wiki/Franco-Dutch_War,,232835.0
1637,1638,Shimabara Rebellion,Tokugawa shogunate\nDutch Empire,Roman Catholics and rōnin\nrebels,,https://en.wikipedia.org/wiki/Shimabara_Rebellion,,224245.0
1738,1739,Nader Shah's invasion\nof India,Afsharid dynasty,Mughal Empire,,https://en.wikipedia.org/wiki/Nader_Shah's_invasion_of_India,https://en.wikipedia.org/wiki/Nader_Shah's_invasion_of_India,206792.0
1648,1657,Khmelnytsky Uprising,"Zaporozhian Cossacks\nCrimean Tatars (1649–\n1654, 1656–1657)",Polish–Lithuanian\nCommonwealth\nCrimean Tatars (1654–\n1656),,https://en.wikipedia.org/wiki/Khmelnytsky_Uprising,,206051.0
1763,1766,Pontiac's War,Great Britain,Pontiac's confederacy\nSeneca,,https://en.wikipedia.org/wiki/Pontiac's_War,,205706.0
1788,1934,Australian frontier wars,European settlers,Indigenous Australians,,https://en.wikipedia.org/wiki/Australian_frontier_wars,,203722.0
1534,1535,Münster rebellion,Prince-Bishopric of Münster,Anabaptists,,https://en.wikipedia.org/wiki/M%C3%BCnster_rebellion,,202076.0
1775,1782,First Anglo-Maratha\nWar,British East India Company,Maratha Empire,,https://en.wikipedia.org/wiki/First_Anglo-Maratha_War,https://en.wikipedia.org/wiki/First_Anglo-Maratha_War,197970.0
1648,1649,Second English Civil War\n,Parliamentary forces,Royalist forces\nScotland,Wars of the Three\nKingdoms,https://en.wikipedia.org/wiki/Second_English_Civil_War,https://en.wikipedia.org/wiki/Wars_of_the_Three_Kingdoms,194150.0
1594,1603,Nine Years' War (Ireland),Kingdom of England\nand its government in\nIreland,Alliance of Irish clans\nSupported by:\nSpain\nScottish Gaelic mercenaries,,https://en.wikipedia.org/wiki/Nine_Years'_War_(Ireland),,187688.0
1508,1516,War of the League of Cambrai\n,1508–10:\nFrance\nPapal States\nHoly Roman Empire\nSpain\nDuchy of Ferrara\n1511–13:\nFrance\nDuchy of Ferrara\n1513–16:\nFrance\nVenice\nScotland\nDuchy of Ferrara,1508–10:\nVenice\n1510–11:\nPapal States\nVenice\n1511–13:\nPapal States\nVenice\nSpain\nHoly Roman Empire\nEngland\nSwiss mercenaries\n1513–16:\nPapal States\nSpain,Italian Wars and\nAnglo-French War (1512–14),https://en.wikipedia.org/wiki/War_of_the_League_of_Cambrai,https://en.wikipedia.org/wiki/Italian_Wars,187439.0
1536,1537,Pilgrimage of Grace,Kingdom of England,English Roman Catholics,,https://en.wikipedia.org/wiki/Pilgrimage_of_Grace,,185197.0
1640,1668,Portuguese Restoration War,Kingdom of Portugal\nSupported by:\nKingdom of England\n(after 1661),Spain,,https://en.wikipedia.org/wiki/Portuguese_Restoration_War,,184647.0
1614,1615,Siege of Osaka,Tokugawa shogunate,Toyotomi clan,,https://en.wikipedia.org/wiki/Siege_of_Osaka,,183323.0
1558,1583,Livonian War,Livonian Confederation\nPolish–Lithuanian\nCommonwealth\n(before 1569 the Polish–\nLithuanian union)\nDenmark–Norway\nSweden\nZaporozhian Cossacks\nPrincipality of\nTransylvania (after 1577)[6],Tsardom of Russia\nKingdom of Livonia,,https://en.wikipedia.org/wiki/Livonian_War,,175893.0
1514,1514,Battle of Chaldiran,Ottoman Empire,Safavid Empire,,https://en.wikipedia.org/wiki/Battle_of_Chaldiran,,173911.0
1861,1865,American Civil War,United States of America,Confederate States of\nAmerica,,https://en.wikipedia.org/wiki/American_Civil_War,,6247339.0
1812,1815,War of 1812,British Empire\nUnited States\nUnited States,British Empire\nUnited States\nUnited States,,https://en.wikipedia.org/wiki/War_of_1812,,2853149.0
1853,1856,Crimean War,Ottoman Empire\nFrench Empire\n(from 1854)\nBritain\n(from 1854)\nKingdom of Sardinia\n(from 1855)\nCaucasian Imamate (until 1855)\nCircassia\nAbkhazian insurgents (from\n1855)\nEgypt Eyalet\nBeylik of Tunis[11],Russian Empire\nBulgarian volunteers\nPrincipality of Mingrelia\n(vassal)\nKurdish rebels[12]\nKingdom of Greece (until\n1854),,https://en.wikipedia.org/wiki/Crimean_War,,2187458.0
1899,1902,Second Boer War,British Empire\nCape Colony\nNatal Colony\nBritish India\nAustralia\nCanada\nNew Zealand,Orange Free State\nSouth African\nRepublic\nForeign volunteers,,https://en.wikipedia.org/wiki/Second_Boer_War,,1989012.0
1846,1848,Mexican–American War,United States,Mexico,,https://en.wikipedia.org/wiki/Mexican%E2%80%93American_War,,1960266.0
1803,1815,Napoleonic Wars,Coalition forces:\nAustria[α][a][b]\nPrussia[β]\nRussia[γ][c]\nUnited Kingdom\nBaden\nBavaria[δ]\nBrunswick[ε]\nFrench royalists\nHanover[d]\nHungary[ζ][e]\nLiechtenstein\nMontenegro[η]\nNassau[ε]\nNetherlands[ε]\nOttoman Empire[θ][f]\nPapal States\nPersia[θ][g]\nPortugal[ι],France and allies:\nFrench Republic (until\n1804)\nFrench Empire (from 1804)\nFrench clients:\nBonapartist Spain[i]\nConfederation of the\nRhine[ξ][k][l]\nDuchy of Warsaw[m]\nEtruria[n]\nHolland[o]\nItaly\nLucca-Piombino\nNaples[p]\nPolish Legions[m]\nSwitzerland\nAustria[a][q][ο]\nDenmark–Norway[r][π],,https://en.wikipedia.org/wiki/Napoleonic_Wars,,1954549.0
1898,1898,Spanish–American War,United States\nCuba\nFirst Philippine\nRepublic\nKatipunan,Kingdom of Spain,,https://en.wikipedia.org/wiki/Spanish%E2%80%93American_War,,1773813.0
1857,1858,Indian Rebellion of\n1857\nIndia's First War of\nIndependence,British Empire\nBritish East India\nCompany\nNepal\nJammu and Kashmir\n20 Princely states,Sepoys of the East India\nCompany\nMughal Empire\nAwadh\nJhansi\nJagdishpur\nKohra\nBijairaghogarh\nTulsipur State\n7 Princely states,,https://en.wikipedia.org/wiki/Indian_Rebellion_of_1857,https://en.wikipedia.org/wiki/Indian_Rebellion_of_1857,1745535.0
1899,1901,Boxer Rebellion,Eight-Nation Alliance\nEmpire of Japan\nRussian Empire\nBritish Empire\nFrance\nUnited States\nGerman Empire\nKingdom of Italy\nAustria-Hungary,Righteous Harmony\nSociety\nChina,,https://en.wikipedia.org/wiki/Boxer_Rebellion,,1567198.0
1850,1864,Taiping Rebellion,China\nBritish Empire\nFrench Empire,Taiping Heavenly Kingdom,,https://en.wikipedia.org/wiki/Taiping_Rebellion,,1443192.0
1870,1871,Franco-Prussian War,North German\nConfederation\nKingdom of Bavaria\nBaden\nKingdom of\nWürttemberg,Second French Empire,,https://en.wikipedia.org/wiki/Franco-Prussian_War,,1340846.0
1857,1858,Utah War,United States,State of Deseret\nUtah Territory\nNauvoo Legion,,https://en.wikipedia.org/wiki/Utah_War,,1312270.0
1810,1810,Conquest of Hawaii,Kingdom of Hawaii,Other Hawaiian Tribes,,https://en.wikipedia.org/wiki/Kamehameha_I#Unification_of_Hawai%CA%BBi,,1309728.0
1899,"1902
(Malvar
surrender)
1913
(Irreconcilables
active)",Philippine–American War,United States\nPhilippine\nConstabulary\nPhilippine Scouts,First Philippine\nRepublic\nKatipunan\nPulajanes\nSultanate of Sulu\nMoro people,,https://en.wikipedia.org/wiki/Philippine%E2%80%93American_War,,995375.0
1802,1804,Fourth quarter of the\nHaitian Revolution,Haiti,France,,https://en.wikipedia.org/wiki/Haitian_Revolution,https://en.wikipedia.org/wiki/Haitian_Revolution,941954.0
1812,1812,French invasion of\nRussia\n,Russian Empire,France\nDuchy of Warsaw\nItaly\nNaples\nConfederation of the Rhine\nBaden\nBavaria\nBerg\nSaxony\nWestphalia\nSpain\nSwiss Confederation,Napoleonic\nWars,https://en.wikipedia.org/wiki/French_invasion_of_Russia,https://en.wikipedia.org/wiki/French_invasion_of_Russia,910792.0
1807,1814,Peninsular War\n,Portugal\nUnited Kingdom\nSpain,France,Napoleonic\nWars,https://en.wikipedia.org/wiki/Peninsular_War,https://en.wikipedia.org/wiki/Napoleonic_Wars,871489.0
1871,1871,French Civil War of 1871,French Republic,Communards,,https://en.wikipedia.org/wiki/Paris_Commune,,791097.0
1839,1842,First Opium War,British Empire,Qing Empire of China,,https://en.wikipedia.org/wiki/First_Opium_War,,759300.0
1868,1869,Boshin War\nWar of the Year of\nthe Dragon\n,Imperial Faction:\nForces of the Emperor\nof Japan\nSatsuma Domain\nChoshu Domain\nTosa Domain\nHiroshima Domain\nSaga Domain\nBritish Empire,Tokugawa Shogunate\nNorthern Alliance\nRepublic of Ezo\nSecond French Empire,Japanese\nCivil War,https://en.wikipedia.org/wiki/Boshin_War,,758675.0
1894,1895,First Sino-Japanese War,Empire of Japan,Qing Empire,,https://en.wikipedia.org/wiki/First_Sino-Japanese_War,,744684.0
1821,1829,Greek War of\nIndependence,Greek revolutionaries\nBritain\nUnited States of the\nIonian Islands,Ottoman Empire\nEgypt Eyalet\nBeylik of Tunis (naval\nbattles),,https://en.wikipedia.org/wiki/Greek_War_of_Independence,https://en.wikipedia.org/wiki/Greek_War_of_Independence,716300.0
1810,1821,Mexican War of\nIndependence\n,Mexican Army,Spain,Spanish\nAmerican wars of\nindependence,https://en.wikipedia.org/wiki/Mexican_War_of_Independence,https://en.wikipedia.org/wiki/Mexican_War_of_Independence,713372.0
1854,1861,Bleeding Kansas,Free-Stater (Kansas),Border ruffians,,https://en.wikipedia.org/wiki/Bleeding_Kansas,,689498.0
1879,1879,Anglo-Zulu War,British Empire\nColony of Natal,Zulu Kingdom,,https://en.wikipedia.org/wiki/Anglo-Zulu_War,,611756.0
1864,1870,Paraguayan War,Empire of Brazil\nArgentina\nUruguay,Paraguay,,https://en.wikipedia.org/wiki/Paraguayan_War,,611548.0
1892,1892,Second Hazara Uprising,Emirate of Afghanistan,Hazaras,,https://en.wikipedia.org/wiki/Hazaras#Second_uprising,,607945.0
1893,1893,Third Hazara Uprising,Emirate of Afghanistan,Hazaras,,https://en.wikipedia.org/wiki/Hazaras#Third_uprising,,607945.0
1810,1826,Chilean War of\nIndependence\n,Chile\nUnited Provinces of the\nRío de la Plata,Spain\nMapuche allies,Spanish\nAmerican wars of\nindependence,https://en.wikipedia.org/wiki/Chilean_War_of_Independence,https://en.wikipedia.org/wiki/Chilean_War_of_Independence,597593.0
1835,1836,Texas Revolution,Republic of Texas,Mexico,,https://en.wikipedia.org/wiki/Texas_Revolution,,583308.0
1866,1866,Austro-Prussian War\nSeven Weeks War\nGerman Civil War,Kingdom of Prussia\nKingdom of Italy\nMecklenburg-Schwerin\nOldenburg\nCounty of Anhalt\nDuchy of Brunswick\nDuchy of Saxe-\nAltenburg\nSaxe-Coburg and\nGotha\nPrincipality of Waldeck-\nPyrmont\nCounty of\nSchwarzburg-\nSondershausen\nPrincipality of Lippe\nBremen\nHamburg\nLübeck,Austrian Empire\nKingdom of Saxony\nKingdom of Bavaria\nGrand Duchy of Baden\nKingdom of\nWürttemberg\nKingdom of Hanover\nGrand Duchy of Hesse\nHesse-Kassel\nPrincipality of Reuss\nElder Line\nDuchy of Saxe-\nMeiningen\nCounty of Schaumburg-\nLippe\nNassau,,https://en.wikipedia.org/wiki/Austro-Prussian_War,,569331.0
1815,1815,Hundred Days\nWar of the Seventh\nCoalition,United Kingdom\nKingdom of Prussia\nKingdom of France\nKingdom of Hanover\nGerman Confederation\nAustrian Empire\nRussian Empire\nSweden\nNetherlands\nSpain\nKingdom of Portugal\nKingdom of Sardinia\nKingdom of the Two\nSicilies\nGrand Duchy of\nTuscany,First French Empire\nNapoleonic Kingdom\nof Naples,,https://en.wikipedia.org/wiki/Hundred_Days,,553485.0
1896,1896,Anglo-Zanzibar War\nThe shortest war in\nhistory,British Empire,Zanzibar,,https://en.wikipedia.org/wiki/Anglo-Zanzibar_War,,502454.0
1830,1830,July Revolution\nFrench Revolution of 1830,House of Orléans,House of Bourbon,,https://en.wikipedia.org/wiki/July_Revolution,,498250.0
1801,1805,Tripolitan War,United States\nSweden (until 1802)\nSicily,Tripolitania\nMorocco (1802),,https://en.wikipedia.org/wiki/First_Barbary_War,,484282.0
1848,1848,French Revolution of 1848,French Republic,July Monarchy,,https://en.wikipedia.org/wiki/French_Revolution_of_1848,,472991.0
1861,1867,French intervention\nin Mexico\nAlso known as\nFranco-Mexican War,United Mexican States\nSupported by :\nUnited States of America\n(entered in 1865),Second French Empire\nSecond Mexican Empire\nAustrian Empire (German\nand Hungarian volunteers)\nBelgian Foreign Legion\nEgyptian Sudanese\nSupported by :\nKingdom of Spain (retired in\n1862)\nUnited Kingdom (retired in\n1862),,https://en.wikipedia.org/wiki/Second_French_intervention_in_Mexico,https://en.wikipedia.org/wiki/Second_French_intervention_in_Mexico,464923.0
1877,1877,Satsuma Rebellion,Empire of Japan,"Samurai of former the\nSatsuma Domain, Kumamoto\nDomain\nShi-gakkō",,https://en.wikipedia.org/wiki/Satsuma_Rebellion,,455987.0
1879,1883,War of the Pacific,Chile,Peru\nBolivia,,https://en.wikipedia.org/wiki/War_of_the_Pacific,,403229.0
1856,1860,Second Opium War\nArrow War,United Kingdom\nFrench Empire\nUnited States (1856 and\n1859 only),Qing Empire of China,,https://en.wikipedia.org/wiki/Second_Opium_War,,393536.0
1812,1814,War of the Sixth\nCoalition\n,Original Coalition:\nRussian Empire\nKingdom of Prussia\nAustrian Empire\nSweden\nUnited Kingdom of Great\nBritain and Ireland\nSpain\nKingdom of Portugal\nSicily\nKingdom of Sardinia\nAfter Battle of Leipzig:\nKingdom of Saxony\nKingdom of Bavaria\nWürttemberg,France\nKingdom of Italy\n(Napoleonic)\nDuchy of Warsaw\nNaples\nUntil January 1814\nDenmark–Norway\nSwiss Confederation\nConfederation of the Rhine\n(Many member states defected after\nBattle of Leipzig),Napoleonic\nWars,https://en.wikipedia.org/wiki/War_of_the_Sixth_Coalition,https://en.wikipedia.org/wiki/War_of_the_Sixth_Coalition,386627.0
1859,1872,Pig War,United States,United Kingdom,,https://en.wikipedia.org/wiki/Pig_War_(1859),,375299.0
1881,1899,Mahdist War,Egypt\nBritish Empire\nItaly\nBelgium\nEthiopian Empire,Mahdist Sudan,,https://en.wikipedia.org/wiki/Mahdist_War,,370306.0
1832,1832,June Rebellion,France,French Republicans,,https://en.wikipedia.org/wiki/June_Rebellion,,368897.0
1803,1806,War of the Third\nCoalition\n,French Empire and allies:\nFrance\nBatavian Republic\nItaly\nEtruria\nSpain\nBavaria\nWürttemberg,Austrian Empire\nRussian Empire\nUnited Kingdom\nNaples and Sicily\nSweden,Napoleonic\nWars,https://en.wikipedia.org/wiki/War_of_the_Third_Coalition,https://en.wikipedia.org/wiki/War_of_the_Third_Coalition,359507.0
1880,1881,First Boer War,South African Republic,British Empire,,https://en.wikipedia.org/wiki/First_Boer_War,,349165.0
1856,1857,1857 Cheyenne\nExpedition,United States,Cheyenne,,https://en.wikipedia.org/wiki/Cheyenne#Punitive_US_expedition_of_1857,https://en.wikipedia.org/wiki/Cheyenne#Punitive_US_expedition_of_1857,340624.0
1896,1898,Philippine Revolution,Katipunan\nSovereign Tagalog\nNation\nFirst Philippine\nRepublic\nUnited States,Kingdom of Spain,,https://en.wikipedia.org/wiki/Philippine_Revolution,,330477.0
1838,1842,First Anglo-Afghan War,Emirate of Afghanistan,British Empire\nBritish East India\nCompany,,https://en.wikipedia.org/wiki/First_Anglo-Afghan_War,,329910.0
1825,1825,Decembrist revolt,Russian Empire,Decembrists,,https://en.wikipedia.org/wiki/Decembrist_revolt,,325143.0
1878,1878,Lincoln County War,Ranchers\nRegulators,General Store Monopoly\nJohn Kinney Gang\nJesse Evans Gang\nSeven Rivers Warriors,,https://en.wikipedia.org/wiki/Lincoln_County_War,,310643.0
1864,1864,Second Schleswig\nWar\nSecond Danish-\nGerman War,German Confederation\nAustrian Empire\nKingdom of Prussia,Denmark,,https://en.wikipedia.org/wiki/Second_Schleswig_War,https://en.wikipedia.org/wiki/Second_Schleswig_War,298170.0
1848,1849,Hungarian War of\nIndependence,Austrian Empire\nRussian Empire,Hungary,,https://en.wikipedia.org/wiki/Hungarian_Revolution_of_1848,https://en.wikipedia.org/wiki/Hungarian_Revolution_of_1848,294748.0
1895,1900,Colorado Range War,Cattle Barons,Homesteader and\nRustlers,,https://en.wikipedia.org/wiki/Tom_Horn#Colorado_Range_War,,290040.0
1838,1838,Battle of Blood River,Voortrekkers,Zulu kingdom,,https://en.wikipedia.org/wiki/Battle_of_Blood_River,,285923.0
1862,1862,Dakota War of 1862,United States,Dakota Sioux,,https://en.wikipedia.org/wiki/Dakota_War_of_1862,,281617.0
1859,1859,Second Italian War of\nIndependence,French Empire\nKingdom of Sardinia,Austrian Empire,,https://en.wikipedia.org/wiki/Second_Italian_War_of_Independence,https://en.wikipedia.org/wiki/Second_Italian_War_of_Independence,278755.0
1830,1831,Belgian Revolution,Southern Provinces of the\nNetherlands,United Kingdom of the\nNetherlands,,https://en.wikipedia.org/wiki/Belgian_Revolution,,277289.0
1838,1838,Mormon War,Non-Mormon Missourians,Latter Day Saint\nmovement,,https://en.wikipedia.org/wiki/1838_Mormon_War,,273541.0
1939,1945,World War II,Allied Powers:\nSoviet Union\nUnited States\nUnited Kingdom\nChina\nFree France\nPoland\nYugoslavia\nGreece\nNetherlands\nBelgium\nLuxembourg\nNorway\nCzechoslovakia\nCanada\nAustralia\nNew Zealand\nSouth Africa\nPhilippines\nEthiopia\nBrazil\nMongolia\nMexico\nand others...,Axis Powers:\nGermany\nJapan\nItaly\nHungary\nRomania\nBulgaria\nFinland\nThailand\nand others...,,https://en.wikipedia.org/wiki/World_War_II,,54985661.0
1914,1918,World War I,Allied Powers:\nBritish Empire\nFrance\nRussia (until 1917)\nSerbia\nBelgium\nMontenegro\nJapan,Central Powers:\nGerman Empire\nAustria-Hungary\nOttoman Empire\nBulgaria (from 1915)\n...and co-belligerents,,https://en.wikipedia.org/wiki/World_War_I,,12113298.0
1936,1939,Spanish Civil War,National faction\nFalange\nCarlists (1936–1937)\nCEDA (1936–1937)\nAlfonsists (1936–1937)\nArmy of Africa\nSupported by:\nItaly\nGermany\nPortugal\nForeign volunteers,Republican faction\nSpanish Republican\nArmy\nPopular Front\nCNT/FAI\nUGT\nERC\nBasque Army (1936–\n1937)\nGalicianist Party\nSupported by:\nInternational Brigades\nSoviet Union (1936–1938)\nMexico\nFrance (1936),,https://en.wikipedia.org/wiki/Spanish_Civil_War,,2454973.0
1937,1945,Second Sino-Japanese War\nPart of World War II,Republic of China\nSoviet Union (1937–\n1941; 1944–1945)\nUnited States,Empire of Japan\nReorganized National\nGovernment of China\nManchukuo,,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War,https://en.wikipedia.org/wiki/World_War_II,2295875.0
1932,1932,Emu War,Emus,Australia,,https://en.wikipedia.org/wiki/Emu_War,,1686653.0
1927,1950,Chinese Civil War,Chinese Communist Party\nAfter 1949:\nPeople's Republic of\nChina,Nationalist Party of China\nRepublic of China\nAfter 1949:\nRepublic of China on Taiwan,,https://en.wikipedia.org/wiki/Chinese_Civil_War,,1569753.0
1939,1940,Winter War\nPart of World War II,Soviet Union,Finland,,https://en.wikipedia.org/wiki/Winter_War,https://en.wikipedia.org/wiki/World_War_II,1508143.0
1915,1916,Gallipoli campaign\nPart of World War I,Ottoman Empire,United Kingdom\nFrance,,https://en.wikipedia.org/wiki/Gallipoli_campaign,,1500574.0
